game_id,date,season,week,league,away,home,def_solo,def_tot,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,,70.0,5.0,5.0,110.0,,328.0,5.0,1.0,,,4.0,4.0,4.0
FOOTBALL_CFL_2016_10_1_CGY@HAM,2016-10-01,2016,1,CFL,CGY,HAM,,,,65.0,2.0,2.0,40.0,,123.0,9.0,3.0,3.0,58.0,9.0,,
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,,63.0,5.0,4.0,48.0,,297.0,15.0,5.0,4.0,38.0,14.0,3.0,2.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,66.0,4.0,4.0,45.0,,203.0,6.0,2.0,1.0,40.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,,86.0,3.0,3.0,25.0,,215.0,7.0,3.0,2.0,24.0,6.0,1.0,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,,62.0,5.0,4.0,69.0,1.0,288.0,11.0,3.0,3.0,51.0,10.0,1.0,1.0
FOOTBALL_CFL_2016_6_23_HAM@TOR,2016-06-23,2016,1,CFL,HAM,TOR,,,,73.0,6.0,5.0,93.0,,409.0,16.0,4.0,4.0,50.0,16.0,4.0,4.0
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,,74.0,4.0,4.0,89.0,,252.0,17.0,5.0,5.0,56.0,17.0,2.0,2.0
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,78.0,2.0,2.0,55.0,,126.0,3.0,3.0,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,,71.0,5.0,5.0,116.0,,328.0,11.0,3.0,3.0,44.0,11.0,3.0,2.0
FOOTBALL_CFL_2016_7_7_WPG@HAM,2016-07-07,2016,1,CFL,WPG,HAM,,,,65.0,4.0,4.0,79.0,,243.0,6.0,1.0,1.0,48.0,6.0,3.0,3.0
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,72.0,8.0,8.0,159.0,,497.0,10.0,3.0,3.0,54.0,10.0,1.0,1.0
FOOTBALL_CFL_2016_8_20_SSK@HAM,2016-08-20,2016,1,CFL,SSK,HAM,,,,74.0,7.0,7.0,158.0,,442.0,15.0,3.0,3.0,22.0,15.0,6.0,6.0
FOOTBALL_CFL_2016_8_28_HAM@CGY,2016-08-28,2016,1,CFL,HAM,CGY,,,,74.0,4.0,3.0,63.0,,220.0,4.0,1.0,1.0,47.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_8_3_HAM@WPG,2016-08-03,2016,1,CFL,HAM,WPG,,,1.0,80.0,2.0,1.0,25.0,,151.0,3.0,1.0,1.0,45.0,3.0,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,1.0,1.0,,78.0,3.0,3.0,56.0,,210.0,9.0,3.0,2.0,51.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_9_16_MTL@HAM,2016-09-16,2016,1,CFL,MTL,HAM,,,,72.0,3.0,3.0,82.0,,191.0,14.0,4.0,4.0,51.0,13.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,,70.0,4.0,4.0,59.0,,231.0,6.0,3.0,1.0,33.0,5.0,2.0,2.0
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,73.0,8.0,8.0,189.0,,559.0,11.0,2.0,2.0,39.0,11.0,5.0,5.0
