game_id,date,season,week,league,away,home,pass_defended,sacks,tackles
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,3.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,3.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,RENEGADES,GUARDIANS,,1.0,5.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,7.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,7.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,1.0,2.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,1.0,,7.0
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,6.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,10.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,1.0,,5.0
