game_id,date,season,week,league,away,home,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,,21.0,2.0,,38.0,15.0,,1.0,169.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,8.0,2.0,3.0,,12.0,16.0,18.0,3.0,,54.0,7.0,15.0,,34.0,,,,,
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,19.0,2.0,2.0,1.0,26.0,31.0,53.0,1.0,,53.0,7.0,9.0,1.0,32.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,,,,48.0,3.0,,77.0,,,,,,,,,
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,7.0,3.0,3.0,,9.0,15.0,31.0,4.0,,73.0,1.0,6.0,,6.0,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,17.0,3.0,3.0,,17.0,25.0,23.0,2.0,,41.0,,,,,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,12.0,2.0,2.0,,4.0,12.0,1.0,1.0,,1.0,5.0,7.0,,15.0,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,2.0,2.0,7.0,,-1.0,1.0,,,,,5.0,6.0,,16.0,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,6.0,1.0,1.0,,6.0,6.0,,,,,1.0,,1.0,80.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,16.0,3.0,4.0,,24.0,28.0,,,,,10.0,6.0,,23.0,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,13.0,4.0,4.0,,39.0,47.0,,,,,5.0,,1.0,48.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_19_CGY@SSK,2018-08-19,2018,1,CFL,CGY,SSK,,,,,,,,,,,6.0,10.0,,43.0,,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,28.0,2.0,2.0,,28.0,31.0,24.0,1.0,,24.0,5.0,11.0,1.0,17.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,12.0,1.0,3.0,,12.0,12.0,97.0,5.0,1.0,188.0,1.0,4.0,,4.0,1.0,,6.0,,1.0
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,3.0,,,,,,,,4.0,,1.0,95.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,2.0,3.0,1.0,9.0,37.0,21.0,1.0,,21.0,5.0,19.0,,55.0,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,11.0,2.0,5.0,,15.0,19.0,28.0,5.0,,122.0,4.0,9.0,,19.0,,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,12.0,1.0,1.0,,12.0,12.0,27.0,3.0,,52.0,1.0,2.0,,2.0,,,,,
