game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2022_W1_NO,,2022,1,USFL,,,,,,0.0,10.0,1.0,,
SYNTHETIC_USFL_2022_W2_NO,,2022,2,USFL,,,,1.0,,0.0,92.0,5.0,,
SYNTHETIC_USFL_2022_W3_NO,,2022,3,USFL,,,,,,0.0,10.0,1.0,,
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,,,1.0,101.0,6.0,,
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,,,1.0,60.0,4.0,0.0,-5.0
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,,,,0.0,16.0,2.0,,
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,,,1.0,1.0,28.0,3.0,0.0,-8.0
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,,,0.0,54.0,5.0,,
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,,,,0.0,26.0,3.0,,
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,,,,0.0,8.0,1.0,,
SYNTHETIC_USFL_2022_W11_NO,,2022,11,USFL,,,,,,0.0,25.0,2.0,,
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,,,70.0,5.0,,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,,,0.0,6.0,1.0,,
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,0.0,41.0,5.0,,
SYNTHETIC_USFL_2023_W4_BREAKERS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,,0.0,37.0,4.0,,
SYNTHETIC_USFL_2023_W5_BREAKERS,2023-05-14,2023,5,USFL,BREAKERS,SHOWBOATS,,,,0.0,51.0,4.0,,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,,,0.0,33.0,3.0,,
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,,,0.0,88.0,6.0,,
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,,,0.0,117.0,8.0,,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,,1.0,3.0,1.0,,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,,0.0,31.0,3.0,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,1.0,47.0,4.0,,
SYNTHETIC_UFL_2024_W1_SHOWBOATS,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,,0.0,49.0,4.0,,
SYNTHETIC_UFL_2024_W2_SHOWBOATS,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,,0.0,76.0,3.0,,
SYNTHETIC_UFL_2024_W3_SHOWBOATS,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,,0.0,49.0,6.0,,
SYNTHETIC_UFL_2024_W5_SHOWBOATS,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,,1.0,45.0,2.0,,
SYNTHETIC_UFL_2024_W6_SHOWBOATS,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,,0.0,36.0,3.0,,
SYNTHETIC_UFL_2024_W7_SHOWBOATS,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,,0.0,43.0,3.0,,
SYNTHETIC_UFL_2024_W8_SHOWBOATS,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,,0.0,11.0,1.0,,
SYNTHETIC_UFL_2024_W9_SHOWBOATS,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,1.0,1.0,,0.0,73.0,5.0,,
SYNTHETIC_UFL_2024_W10_SHOWBOATS,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,,0.0,59.0,6.0,,
SYNTHETIC_UFL_2025_W1_SHOWBOATS,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,,1.0,93.0,6.0,,
SYNTHETIC_UFL_2025_W2_SHOWBOATS,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,0.0,128.0,9.0,,
SYNTHETIC_UFL_2025_W3_SHOWBOATS,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,,0.0,42.0,5.0,,
SYNTHETIC_UFL_2025_W4_SHOWBOATS,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,0.0,21.0,2.0,,
SYNTHETIC_UFL_2025_W5_SHOWBOATS,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,,,,0.0,29.0,2.0,,
SYNTHETIC_UFL_2025_W6_SHOWBOATS,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,1.0,,0.0,25.0,2.0,0.0,14.0
SYNTHETIC_UFL_2025_W7_SHOWBOATS,2025-05-11,2025,7,UFL,SHOWBOATS,BATTLEHAWKS,,,,1.0,69.0,4.0,0.0,9.0
SYNTHETIC_UFL_2025_W8_SHOWBOATS,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,1.0,,0.0,11.0,2.0,,
SYNTHETIC_UFL_2025_W10_SHOWBOATS,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,,0.0,25.0,2.0,,
