game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions
SYNTHETIC_CFL_W1_CGY,,,1,CFL,,,0.0,101.0,7.0
SYNTHETIC_CFL_W3_CGY,,,3,CFL,,,0.0,11.0,2.0
SYNTHETIC_CFL_W9_CGY,2022-08-05,,9,CFL,CGY,OTT,0.0,9.0,1.0
SYNTHETIC_CFL_W10_CGY,2022-08-13,,10,CFL,BC,CGY,0.0,6.0,1.0
SYNTHETIC_CFL_W15_CGY,2022-09-17,,15,CFL,BC,CGY,0.0,6.0,1.0
SYNTHETIC_CFL_W16_CGY,2022-09-24,,16,CFL,CGY,BC,0.0,25.0,5.0
SYNTHETIC_CFL_W17_CGY,2022-10-01,,17,CFL,TOR,CGY,0.0,41.0,3.0
SYNTHETIC_CFL_W19_CGY,2022-10-14,,19,CFL,HAM,CGY,0.0,7.0,1.0
SYNTHETIC_CFL_W20_CGY,2022-10-22,,20,CFL,CGY,SSK,1.0,14.0,1.0
SYNTHETIC_CFL_2023_W3_HAM,2023-06-23,2023,3,CFL,MTL,HAM,0.0,7.0,1.0
SYNTHETIC_CFL_2023_W5_HAM,2023-07-08,2023,5,CFL,OTT,HAM,0.0,59.0,7.0
SYNTHETIC_CFL_2023_W6_HAM,2023-07-13,2023,6,CFL,HAM,EDM,0.0,0.0,0.0
SYNTHETIC_CFL_2023_W7_HAM,2023-07-21,2023,7,CFL,TOR,HAM,0.0,11.0,2.0
SYNTHETIC_CFL_2023_W13_HAM,2023-09-04,2023,13,CFL,TOR,HAM,0.0,13.0,2.0
SYNTHETIC_CFL_2023_W16_HAM,2023-09-23,2023,16,CFL,HAM,TOR,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W1_TOR,2024-06-09,2024,1,CFL,BC,TOR,,24.0,2.0
SYNTHETIC_CFL_2024_W6_TOR,2024-07-11,2024,6,CFL,TOR,MTL,0.0,36.0,2.0
SYNTHETIC_CFL_2024_W7_TOR,2024-07-20,2024,7,CFL,TOR,HAM,0.0,41.0,5.0
SYNTHETIC_CFL_2024_W8_TOR,2024-07-27,2024,8,CFL,WPG,TOR,0.0,9.0,1.0
SYNTHETIC_CFL_2024_W9_TOR,2024-08-04,2024,9,CFL,TOR,CGY,1.0,34.0,2.0
SYNTHETIC_CFL_2024_W10_TOR,2024-08-09,2024,10,CFL,CGY,TOR,0.0,8.0,1.0
SYNTHETIC_CFL_2024_W12_TOR,2024-08-22,2024,12,CFL,SSK,TOR,0.0,16.0,2.0
SYNTHETIC_CFL_2024_W14_TOR,2024-09-07,2024,14,CFL,TOR,OTT,0.0,42.0,5.0
SYNTHETIC_CFL_2024_W15_TOR,2024-09-13,2024,15,CFL,TOR,BC,0.0,0.0,0.0
SYNTHETIC_CFL_2024_W16_TOR,2024-09-20,2024,16,CFL,HAM,TOR,0.0,0.0,0.0
