game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,25.0,1.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,0.0,0.0,,8.0,2.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,1.0,63.0,3.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,29.0,2.0
SYNTHETIC_XFL_2023_W6_ROUGHNECKS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,0.0,0.0,,,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,6.0,1.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,30.0,2.0
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,26.0,2.0
FOOTBALL_XFL_2023_4_23_HOU@ARL,2023-04-23,2023,10,XFL,HOU,ARL,,,,51.0,3.0
3,2024-03-31,2024,1,UFL,BRAHMAS,DEFENDERS,1.0,,0.0,13.0,2.0
5,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,0.0,23.0,3.0
12,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,0.0,7.0,3.0
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,,0.0,107.0,7.0
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,0.0,24.0,2.0
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,0.0,20.0,3.0
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,0.0,0.0,0.0
34,2024-05-25,2024,9,UFL,BRAHMAS,STALLIONS,,,1.0,56.0,4.0
38,2024-06-01,2024,10,UFL,BATTLEHAWKS,BRAHMAS,,,0.0,14.0,1.0
42,2024-06-09,2024,11,UFL,BATTLEHAWKS,BRAHMAS,,,1.0,76.0,4.0
43,2024-06-16,2024,12,UFL,BRAHMAS,STALLIONS,,,0.0,3.0,1.0
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,,0.0,0.0,0.0
