game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W2_STALLIONS,,2023,2,USFL,,,,0.0,11.0,1.0,2.0,72.0
SYNTHETIC_USFL_2023_W3_STALLIONS,,2023,3,USFL,,,,0.0,23.0,4.0,0.0,10.0
SYNTHETIC_USFL_2023_W4_STALLIONS,,2023,4,USFL,,,,0.0,11.0,1.0,0.0,42.0
SYNTHETIC_USFL_2023_W5_STALLIONS,,2023,5,USFL,,,,0.0,6.0,2.0,0.0,-3.0
SYNTHETIC_USFL_2023_W6_STALLIONS,,2023,6,USFL,,,1.0,1.0,30.0,2.0,0.0,8.0
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,,0.0,15.0,2.0,0.0,16.0
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,,0.0,28.0,3.0,0.0,50.0
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,,0.0,26.0,3.0,1.0,16.0
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,,0.0,5.0,1.0,1.0,40.0
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,,2025,6,UFL,,,,0.0,16.0,4.0,0.0,50.0
SYNTHETIC_UFL_2025_W7_ROUGHNECKS,,2025,7,UFL,,,,0.0,8.0,2.0,2.0,69.0
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,,2025,8,UFL,,,,0.0,0.0,0.0,0.0,59.0
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,,,,,0.0,4.0
SYNTHETIC_UFL_2026_W1_COLUMBUSAVIATORS,,2026,1,UFL,,,,0.0,8.0,2.0,1.0,48.0
SYNTHETIC_UFL_2026_W2_COLUMBUSAVIATORS,,2026,2,UFL,,,,0.0,20.0,2.0,1.0,31.0
SYNTHETIC_UFL_2026_W3_COLUMBUSAVIATORS,,2026,3,UFL,,,,0.0,20.0,2.0,0.0,2.0
SYNTHETIC_UFL_2026_W4_COLUMBUSAVIATORS,,2026,4,UFL,,,,,,,1.0,43.0
SYNTHETIC_UFL_2026_W5_COLUMBUSAVIATORS,,2026,5,UFL,,,,0.0,13.0,3.0,0.0,38.0
SYNTHETIC_UFL_2026_W6_COLUMBUSAVIATORS,,2026,6,UFL,,,,0.0,-5.0,1.0,1.0,39.0
