game_id,date,season,week,league,away,home,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,0.0,23.0,4.0,0.0,10.0
SYNTHETIC_USFL_2023_W5_STALLIONS,2023-05-13,2023,5,USFL,STALLIONS,GAMBLERS,,0.0,6.0,2.0,0.0,-3.0
SYNTHETIC_USFL_2023_W6_STALLIONS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,1.0,1.0,30.0,2.0,0.0,8.0
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,0.0,26.0,3.0,2.0,88.0
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,0.0,28.0,3.0,0.0,50.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,0.0,26.0,3.0,1.0,16.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,0.0,11.0,1.0,0.0,42.0
61,2025-04-27,2025,5,UFL,BRAHMAS,ROUGHNECKS,,0.0,5.0,1.0,1.0,40.0
81,2025-05-03,2025,6,UFL,ROUGHNECKS,SHOWBOATS,,0.0,16.0,4.0,0.0,50.0
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,0.0,8.0,2.0,2.0,69.0
82,2025-05-17,2025,8,UFL,ROUGHNECKS,PANTHERS,,0.0,0.0,0.0,0.0,59.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,,0.0,4.0
90,2026-03-29,2026,1,UFL,COLUMBUS AVIATORS,ORLANDO STORM,,0.0,8.0,2.0,1.0,48.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,0.0,20.0,2.0,1.0,31.0
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,0.0,20.0,2.0,0.0,2.0
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,,,,1.0,43.0
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,0.0,13.0,3.0,0.0,38.0
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,0.0,-5.0,1.0,1.0,39.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,0.0,14.0,2.0,0.0,23.0
