game_id,date,season,week,league,away,home,passing_yards,receiving_tds,receiving_yards,receptions
SYNTHETIC_USFL_2023_W1_PANTHERS,2023-04-16,2023,1,USFL,GAMBLERS,PANTHERS,,1.0,32.0,3.0
SYNTHETIC_USFL_2023_W5_PANTHERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,0.0,40.0,5.0
SYNTHETIC_USFL_2023_W6_PANTHERS,2023-05-20,2023,6,USFL,PANTHERS,STALLIONS,,0.0,108.0,7.0
SYNTHETIC_USFL_2023_W11_PANTHERS,,2023,11,USFL,,,,1.0,104.0,
2,2024-03-30,2024,1,UFL,PANTHERS,BATTLEHAWKS,,0.0,21.0,2.0
7,2024-04-07,2024,2,UFL,PANTHERS,STALLIONS,,0.0,27.0,5.0
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,0.0,48.0,5.0
15,2024-04-20,2024,4,UFL,BRAHMAS,PANTHERS,,0.0,52.0,4.0
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,0.0,0.0,0.0
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,0.0,24.0,2.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,0.0,11.0,1.0
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,0.0,20.0,1.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,1.0,17.0,4.0
37,2024-06-01,2024,10,UFL,STALLIONS,PANTHERS,,0.0,19.0,3.0
41,2024-06-08,2024,11,UFL,STALLIONS,PANTHERS,,0.0,29.0,3.0
51,2025-04-11,2025,3,UFL,STALLIONS,RENEGADES,,0.0,36.0,3.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,1.0,61.0,5.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,0.0,8.0,2.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,19.0,1.0,61.0,3.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,0.0,44.0,3.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,1.0,41.0,4.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,0.0,8.0,2.0
