game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,,,,,,,,,,,,,,6.0,6.0,0.0,0.0,6.0,1.0,8.0,27.0,6.0,0.0,0.0,45.0,,,,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4.0,13.0,12.0,0.0,1.0,52.0,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,0.0
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,,,,,,,,,,,,,,,,,,,6.0,20.0,10.0,0.0,4.0,62.0,,,,,,,
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,14.0,17.0,0.0,0.0,28.0,2.0,2.0,11.0,7.0,0.0,2.0,15.0,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_25_TTULSAOILERSG20260425FEQM@TARIZONARATTLERS,2026-04-25,2026,7,IFL,Tulsa Oilers,Arizona Rattlers,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,0.5,,0.0,2.0,0.5,0.0
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,3.0,0.0,0.0,3.0,1.0,3.0,7.0,10.0,0.0,1.0,32.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,8.0,2.0,8.0,37.0,9.0,1.0,2.0,75.0,,,,,,,
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,,,,,,,,1.0,15.0,15.0,0.0,15.0,,,,,,,,4.0,16.0,15.0,0.0,4.0,58.0,,,,,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,7.0,1.0,,2.0,2.0,2.0,0.0
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,,,,,,,,,,,,,9.0,12.0,0.0,0.0,18.0,2.0,3.0,12.0,12.0,0.0,2.0,31.0,,,,,,,
