game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,int_avg,int_long,int_yards,interceptions,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,10.0,11.0,0.0,1.0,20.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,,1.0,,
FOOTBALL_NAL_2025_4_18_T463723G979268@T434514,2025-04-18,2025,7,NAL,Beaumont Renegades,Columbus Lions,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,0.0,1.0,20.0,3.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.0,4.0,0.0,1.0,8.0,2.0,5.0,9.0,2.0,0.0,0.0,9.0,0.0,0.0,,0.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,,,,,,,,,,,,,,,,,,,,,,,,,15.0,25.0,0.0,5.0,74.0,5.0,,,,,,,,,,,,
FOOTBALL_NAL_2025_5_17_T434514G979287@T463723,2025-05-17,2025,11,NAL,Columbus Lions,Beaumont Renegades,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,,0.0,10.0,10.0,108.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,0.0,6.0,2.0,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,4.0,,1.0,,,0.0,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,1.5,12.0
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,1.5,3.0
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,
FOOTBALL_IFL_2026_4_25_TNAZWRANGLERSG20260425HT1S@TSANANTONIOGUNSLINGERS,2026-04-25,2026,7,IFL,NAZ Wranglers,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,
