game_id,date,season,week,league,away,home,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,0.0,7.0,220.0,,,,1.0,2.0
KATS-FIREBIRDS-0329,2025-03-29,2025,3,AF1,ALBANY,NASHVILLE,0.0,4.0,127.0,,,,0.0,35.0
ALBANY-SALINA-0406,2025-04-06,2025,4,AF1,ALBANY,SALINA,0.0,10.0,264.0,,,,0.0,80.0
BILLINGS-ALBANY-0413,2025-04-13,2025,5,AF1,BILLINGS,ALBANY,1.0,4.0,129.0,,,,2.0,19.0
BILLINGS-ALBANY-0420,2025-04-20,2025,6,AF1,ALBANY,BILLINGS,,4.0,152.0,,,,,15.0
CORPUSCHRISTI-ALBANY-0425,2025-04-25,2025,7,AF1,CORPUS CHRISTI,ALBANY,0.0,2.0,47.0,,,,,
ALBANY-SALINA-0504,2025-05-04,2025,8,AF1,SALINA,ALBANY,0.0,9.0,330.0,,,,0.0,11.0
ALBANY-NASHVILLE-0510,2025-05-10,2025,9,AF1,NASHVILLE,ALBANY,1.0,5.0,225.0,0.0,17.0,1.0,1.0,12.0
CORPUSCHRISTI-ALBANY-0524,2025-05-24,2025,11,AF1,ALBANY,CORPUS CHRISTI,0.0,7.0,276.0,,,,,
WASHINGTON-ALBANY-0614,2025-06-14,2025,14,AF1,ALBANY,WASHINGTON,1.0,3.0,122.0,,,,1.0,1.0
SALINA-ALBANY-0621,2025-06-21,2025,15,AF1,ALBANY,SALINA,0.0,8.0,303.0,,,,2.0,26.0
NASHVILLE-ALBANY-0628,2025-06-28,2025,16,AF1,ALBANY,NASHVILLE,0.0,5.0,233.0,,,,2.0,18.0
SYNTHETIC_50YARD_2026_W2_ALBANYFIREBIRDS,2026-05-09,2026,2,50YARD,Kentucky Barrels,Albany Firebirds,,3.0,252.0,,,,3.0,32.0
SYNTHETIC_50YARD_2026_W3_ALBANYFIREBIRDS,2026-05-16,2026,3,50YARD,ALBANY FIREBIRDS,MICHIGAN ARSENAL,,9.0,316.0,,,,,-11.0
