game_id,date,season,week,league,away,home,def_solo,def_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,1.0,1.0
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,1.0,1.0
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,6.0,6.0
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,3.0,3.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,4.0,4.0
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,2.0,2.0
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,2.0,2.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,2.0,2.0
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,1.0,1.0
FOOTBALL_CFL_2016_7_22_OTT@SSK,2016-07-22,2016,1,CFL,OTT,SSK,4.0,4.0
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,1.0,1.0
FOOTBALL_CFL_2016_7_8_CGY@OTT,2016-07-08,2016,1,CFL,CGY,OTT,1.0,1.0
FOOTBALL_CFL_2016_9_17_OTT@CGY,2016-09-17,2016,1,CFL,OTT,CGY,4.0,4.0
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,4.0,4.0
