game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,3.0,3.0,,,,21.0,4.0,6.0,,15.0,48.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,,18.0,2.0,3.0,,15.0,28.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,,,33.0,5.0,6.0,,8.0,78.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,,24.0,4.0,8.0,,37.0,67.0,,,,,,,,,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,55.0,9.0,10.0,,43.0,208.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,1.0,1.0,,,,22.0,4.0,6.0,1.0,18.0,63.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,1.0,1.0,,,,34.0,1.0,3.0,,12.0,34.0,,,,,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,,41.0,7.0,7.0,1.0,21.0,96.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,33.0,5.0,8.0,,23.0,88.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,,,36.0,5.0,6.0,,44.0,103.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,,,11.0,2.0,4.0,,5.0,21.0,,,,,,,,,,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,,,,46.0,9.0,12.0,1.0,45.0,139.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,,,,11.0,2.0,4.0,,,17.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,,,,2.0,2.0,1.0,8.0,71.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,42.0,1.0,4.0,,36.0,42.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,1.0,1.0,,,,34.0,6.0,7.0,,65.0,86.0,,,,,,,,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,,,,17.0,4.0,5.0,,20.0,54.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,,,,19.0,1.0,2.0,,1.0,19.0,,,,1.0,-7.0,-7.0,,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,46.0,6.0,6.0,,62.0,138.0,,,,,,,,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,,,,3.0,4.0,2.0,29.0,32.0,,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,,,,43.0,5.0,7.0,1.0,47.0,62.0,,,,1.0,12.0,12.0,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,,,,,10.0,14.0,1.0,52.0,152.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,1.0,1.0,,,,11.0,2.0,7.0,,8.0,16.0,,,,1.0,7.0,7.0,,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,1.0,1.0,,,,15.0,6.0,8.0,,4.0,53.0,,,,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,,,,23.0,4.0,8.0,,6.0,43.0,,,,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,,,,33.0,9.0,12.0,,23.0,118.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,,,,,,6.0,2.0,4.0,1.0,3.0,9.0,,,,,,,1.0,1.0,8.0,1.0
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,,,,45.0,6.0,7.0,,37.0,149.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,1.0,1.0,,,,31.0,2.0,5.0,,24.0,43.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,,,,23.0,4.0,8.0,,8.0,53.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,,,,42.0,8.0,10.0,1.0,24.0,112.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,,,50.0,5.0,6.0,1.0,18.0,131.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,1.0,1.0,,,,33.0,3.0,9.0,,21.0,54.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_22_HAM@BC,2017-09-22,2017,1,CFL,HAM,BC,,,,,,24.0,6.0,9.0,,22.0,74.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,,,,,,49.0,6.0,7.0,,27.0,101.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,,,,55.0,2.0,5.0,,12.0,65.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,1.0,1.0,,,,55.0,3.0,4.0,1.0,20.0,71.0,7.0,1.0,7.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,,2.0,3.0,1.0,8.0,52.0,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,,,40.0,3.0,4.0,,14.0,57.0,,1.0,,,,,,,,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,,,,,12.0,4.0,7.0,,11.0,35.0,,,,,,,1.0,,2.0,
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,1.0,1.0,,,,13.0,4.0,7.0,,14.0,43.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,,,,12.0,6.0,8.0,,7.0,38.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,,,,6.0,1.0,3.0,,,6.0,,,,1.0,15.0,15.0,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,38.0,3.0,6.0,,9.0,71.0,,,,,,,,,,
