game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_lg,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,ret_blk,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rushing_tds,rushing_yards,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,,,,,,,,,,,70.0,4.0,3.0,59.0,262.0,,,,14.0,5.0,3.0,52.0,12.0,3.0,3.0,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,,,,,,,,,67.0,6.0,6.0,100.0,350.0,,,,8.0,2.0,2.0,39.0,7.0,3.0,1.0,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,,,,,,,,,,88.0,5.0,4.0,97.0,348.0,,,,12.0,4.0,3.0,41.0,11.0,2.0,2.0,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,,,,,,,,,67.0,4.0,4.0,59.0,250.0,,,,4.0,2.0,,,,2.0,,
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,,,,,,,,,,71.0,4.0,4.0,114.0,270.0,,,,15.0,5.0,4.0,46.0,15.0,3.0,3.0,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,,,,,,,,,69.0,6.0,6.0,113.0,388.0,,,,,,,,,,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,,,,,,,,81.0,3.0,2.0,59.0,219.0,,,,1.0,,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,,,,,,,,,66.0,5.0,4.0,67.0,307.0,,,,1.0,,,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,,,,,,,1.0,62.0,4.0,4.0,105.0,239.0,,,,6.0,3.0,2.0,43.0,6.0,,,
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,,,,,,,,,,,77.0,6.0,6.0,142.0,423.0,,,,8.0,1.0,1.0,29.0,5.0,2.0,2.0,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,,,,,,,,,,85.0,4.0,3.0,51.0,248.0,,,,14.0,5.0,3.0,44.0,11.0,2.0,2.0,
FOOTBALL_CFL_2016_7_29_BC@CGY,2016-07-29,2016,1,CFL,BC,CGY,,,1.0,1.0,19.0,19.0,,,,,,,81.0,6.0,5.0,138.0,431.0,,,,9.0,2.0,1.0,20.0,7.0,4.0,4.0,
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,,,,,,,,,,,64.0,3.0,3.0,74.0,186.0,,,,,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,,,,,,,,,,68.0,7.0,7.0,127.0,447.0,,,,9.0,2.0,1.0,27.0,7.0,4.0,4.0,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,,,,,,,,70.0,2.0,2.0,64.0,137.0,,,,9.0,4.0,3.0,37.0,9.0,,,
FOOTBALL_CFL_2016_8_25_BC@OTT,2016-08-25,2016,1,CFL,BC,OTT,,,,,,,,,,,,,69.0,5.0,5.0,145.0,317.0,,,,5.0,2.0,1.0,23.0,3.0,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,,,,,,,,,,,95.0,2.0,1.0,21.0,154.0,,,,10.0,3.0,3.0,47.0,9.0,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,,,,,,,,,,,71.0,3.0,3.0,62.0,195.0,,,,7.0,3.0,2.0,43.0,6.0,,,
FOOTBALL_CFL_2016_9_9_MTL@BC,2016-09-09,2016,1,CFL,MTL,BC,,,,,,,,,,,,,67.0,6.0,6.0,144.0,357.0,,,,6.0,1.0,1.0,17.0,6.0,4.0,3.0,
SYNTHETIC_CFL_2023_W1_OTT,2023-06-10,2023,1,CFL,OTT,MTL,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0
SYNTHETIC_CFL_2023_W7_OTT,2023-07-23,2023,7,CFL,OTT,CGY,,,,,,,,,0.0,0.0,1.0,,,,,,,0.0,0.0,,,,,,,,,
SYNTHETIC_CFL_2023_W9_OTT,2023-08-06,2023,9,CFL,OTT,SSK,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2023_W16_OTT,2023-09-22,2023,16,CFL,SSK,OTT,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2023_W21_OTT,2023-10-28,2023,21,CFL,TOR,OTT,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2024_W13_OTT,2024-08-31,2024,13,CFL,OTT,BC,0.0,,,,,,0.0,27.0,,,,,,,,,,,,,,,,,,,,
