game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,conversions,interceptions_lost,lost_fumbles,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,1.0,1.0,1.0,207.0,,10.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,,3.0,165.0,,23.0
SYNTHETIC_XFL_2023_W2_BRAHMAS,,2023,2,XFL,,,2.0,,0.0,,,,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,SA,HOU,,,,1.0,,1.0,64.0,,27.0
SYNTHETIC_XFL_2023_W3_BRAHMAS,,2023,3,XFL,,,1.0,,0.0,,,,,,
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SA,SEA,,,,,,,189.0,,9.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,3.0,,1.0,139.0,,26.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,,2023,5,XFL,,,1.0,,0.0,,,,,,
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,,,,57.0,,21.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,1.0,1.0,1.0,211.0,,7.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,2.0,,,190.0,,13.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,,1.0,302.0,,6.0
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,,,,312.0,,3.0
SYNTHETIC_XFL_2023_W10_BRAHMAS,,2023,10,XFL,,,0.0,,2.0,,,,,,
SYNTHETIC_UFL_2024_W1_BRAHMAS,,2024,1,UFL,,,1.0,,,0.0,,2.0,158.0,1.0,6.0
SYNTHETIC_UFL_2024_W2_BRAHMAS,,2024,2,UFL,,,,,1.0,1.0,1.0,3.0,287.0,0.0,20.0
SYNTHETIC_UFL_2024_W3_BRAHMAS,,2024,3,UFL,,,,,,0.0,,1.0,143.0,0.0,10.0
SYNTHETIC_UFL_2024_W4_BRAHMAS,,2024,4,UFL,,,,,,1.0,,1.0,269.0,0.0,0.0
SYNTHETIC_UFL_2024_W5_BRAHMAS,,2024,5,UFL,,,1.0,,,3.0,,1.0,164.0,0.0,5.0
SYNTHETIC_UFL_2024_W6_BRAHMAS,,2024,6,UFL,,,,,,1.0,1.0,1.0,79.0,0.0,30.0
SYNTHETIC_UFL_2024_W7_BRAHMAS,,2024,7,UFL,,,,1.0,,1.0,1.0,0.0,180.0,0.0,9.0
SYNTHETIC_UFL_2024_W8_BRAHMAS,,2024,8,UFL,,,1.0,,,0.0,,2.0,320.0,0.0,13.0
SYNTHETIC_UFL_2024_W9_BRAHMAS,,2024,9,UFL,,,,,,0.0,1.0,0.0,183.0,0.0,10.0
SYNTHETIC_UFL_2024_W10_BRAHMAS,,2024,10,UFL,,,,,,1.0,,1.0,228.0,0.0,5.0
SYNTHETIC_UFL_2024_W11_BRAHMAS,,2024,11,UFL,,,,,,1.0,,2.0,197.0,0.0,2.0
SYNTHETIC_UFL_2024_W12_BRAHMAS,,2024,12,UFL,,,,,,0.0,,0.0,173.0,0.0,7.0
SYNTHETIC_UFL_2025_W1_BRAHMAS,,2025,1,UFL,,,,,,0.0,,0.0,159.0,0.0,19.0
SYNTHETIC_UFL_2025_W2_BRAHMAS,,2025,2,UFL,,,,,,1.0,,0.0,129.0,0.0,19.0
SYNTHETIC_UFL_2025_W3_BRAHMAS,,2025,3,UFL,,,,,,0.0,,1.0,152.0,0.0,39.0
SYNTHETIC_UFL_2025_W4_BRAHMAS,,2025,4,UFL,,,,,,0.0,,1.0,121.0,0.0,6.0
SYNTHETIC_UFL_2025_W5_BRAHMAS,,2025,5,UFL,,,,,,2.0,,0.0,64.0,0.0,24.0
SYNTHETIC_UFL_2025_W6_BRAHMAS,,2025,6,UFL,,,,,,1.0,,0.0,179.0,0.0,8.0
SYNTHETIC_UFL_2025_W7_BRAHMAS,,2025,7,UFL,,,,,,0.0,1.0,2.0,230.0,0.0,32.0
SYNTHETIC_UFL_2025_W8_BRAHMAS,,2025,8,UFL,,,,,2.0,3.0,,0.0,90.0,0.0,12.0
SYNTHETIC_UFL_2025_W9_BRAHMAS,,2025,9,UFL,,,,,,0.0,,0.0,103.0,0.0,20.0
SYNTHETIC_UFL_2025_W10_BRAHMAS,,2025,10,UFL,,,,,,0.0,,0.0,150.0,0.0,14.0
