game_id,date,season,week,league,away,home,interceptions_made,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rushing_tds,rushing_yards,sacks,score_pts,tackles
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,52.0,4.0,2.0,17.0,,174.0,,,,,
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,48.0,5.0,5.0,32.0,,219.0,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,63.0,4.0,3.0,28.0,,189.0,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,57.0,6.0,4.0,30.0,,284.0,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,52.0,4.0,2.0,21.0,,182.0,,,,,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,50.0,3.0,2.0,,,132.0,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,56.0,11.0,8.0,23.0,,501.0,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,47.0,3.0,2.0,78.0,1.0,134.0,,,,1.0,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,59.0,5.0,4.0,20.0,,221.0,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,49.0,5.0,5.0,31.0,,214.0,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,58.0,6.0,5.0,46.0,,292.0,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,56.0,4.0,4.0,7.0,,185.0,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,52.0,8.0,7.0,25.0,,377.0,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,51.0,8.0,8.0,27.0,,359.0,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,53.0,5.0,2.0,10.0,,227.0,,,,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,65.0,4.0,2.0,13.0,,207.0,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,61.0,9.0,9.0,68.0,,466.0,,,,,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,54.0,3.0,3.0,111.0,1.0,141.0,,,,,
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,61.0,4.0,2.0,14.0,,185.0,,,,,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,51.0,4.0,3.0,22.0,,165.0,,,,,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,54.0,7.0,4.0,48.0,,285.0,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,54.0,3.0,3.0,30.0,,157.0,,,,,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,52.0,3.0,3.0,16.0,,129.0,,,,,
FOOTBALL_CFL_2022_8_13_BC@CGY,2022-08-13,2022,1,CFL,BC,CGY,,53.0,5.0,6.0,22.0,,253.0,,,,,
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,,50.0,7.0,3.0,26.0,,302.0,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,77.0,4.0,2.0,21.0,,257.0,,,,2.0,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,64.0,9.0,7.0,67.0,,457.0,,,,1.0,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,60.0,4.0,3.0,21.0,,213.0,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,56.0,7.0,6.0,44.0,,349.0,,,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,57.0,6.0,6.0,54.0,,288.0,,,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,46.0,7.0,5.0,25.0,,262.0,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,0.0,,,,,,,0.0,-22.0,0.0,,1.0
