game_id,date,season,week,league,away,home,def_int,def_sack,def_solo,def_tot,def_yds,def_ydsl
FOOTBALL_CFL_2018_10_13_BC@CGY,2018-10-13,2018,1,CFL,BC,CGY,,,3.0,3.0,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,1.0,2.0,2.0,,2.0
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,1.0,1.0,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,2.0,,3.0,3.0,-6.0,
FOOTBALL_CFL_2018_11_11_BC@HAM,2018-11-11,2018,1,CFL,BC,HAM,,1.0,4.0,4.0,,5.0
FOOTBALL_CFL_2018_11_3_CGY@BC,2018-11-03,2018,1,CFL,CGY,BC,,,2.0,2.0,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,7.0,7.0,,
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,2.0,2.0,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,1.0,2.0,2.0,,8.0
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,3.0,3.0,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,2.0,2.0,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,4.0,4.0,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,3.0,3.0,,
FOOTBALL_CFL_2018_8_4_BC@CGY,2018-08-04,2018,1,CFL,BC,CGY,,1.0,6.0,6.0,,4.0
FOOTBALL_CFL_2018_8_9_EDM@BC,2018-08-09,2018,1,CFL,EDM,BC,,,5.0,5.0,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,2.0,2.0,2.0,,18.0
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,3.0,8.0,8.0,,17.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,1.0,1.0,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,1.0,2.0,2.0,,6.0
