game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,9.0,1.0,,38.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,GUARDIANS,BRAHMAS,,,,,,,19.0
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,,1.0,36.0
FOOTBALL_XFL_2023_3_11_SA@SEA,2023-03-11,2023,4,XFL,SEA DRAGONS,BRAHMAS,,,,17.0,2.0,,5.0
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,,24.0,5.0,,26.0
FOOTBALL_XFL_2023_3_26_SA@ARL,2023-03-26,2023,6,XFL,SA,ARL,,,,18.0,3.0,,82.0
FOOTBALL_XFL_2023_4_1_SA@VGS,2023-04-01,2023,7,XFL,SA,VGS,,,,45.0,4.0,,20.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,38.0,4.0,1.0,96.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,1.0,50.0,5.0,1.0,80.0
SYNTHETIC_XFL_2023_W9_BRAHMAS,2023-04-15,2023,9,XFL,BRAHMAS,GUARDIANS,1.0,0.0,,,,,
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,37.0,6.0,2.0,41.0
