game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_tds,fg_made,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_UFL_2025_4_27_HOU@SA,2025-04-27,2025,5,UFL,HOU,SA,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_4_SA@BHM,2025-05-04,2025,6,UFL,SA,BHM,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_10_DC@SA,2025-05-10,2025,7,UFL,DC,SA,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_17_MEM@SA,2025-05-17,2025,8,UFL,MEM,SA,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_24_STL@SA,2025-05-24,2025,9,UFL,STL,SA,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_6_1_ARL@SA,2025-06-01,2025,10,UFL,ARL,SA,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2026_3_13_T600414G1127142@T573852,2026-03-14,2026,2,NAL,Southwest Kansas Storm,Louisiana Rouxgaroux,,600.0,,,,,,,,,1.0,,,,,,10.0,6.0,,4.0,41.0,13.0,85.0,0.0,2.0,200.0,80.0,0.0,3.0,11.0,8.0,0.0,1.0,27.0,,,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,,400.0,,,,,,,,,2.0,,,,,,25.0,10.0,,15.0,20.0,11.0,46.0,0.0,2.0,80.0,105.0,0.0,3.0,10.0,13.0,0.0,1.0,39.0,,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,
FOOTBALL_NAL_2026_4_4_T570667G1127152@T600414,2026-04-04,2026,5,NAL,Colorado Spartans,Southwest Kansas Storm,,588.0,,,,,,,,,1.0,,,,,,17.0,10.0,,7.0,16.0,10.0,51.0,1.0,0.0,0.0,98.0,6.0,3.0,7.0,11.0,0.0,3.0,32.0,,,,
FOOTBALL_IFL_2026_4_18_TVEGASKNIGHTHAWKSG20260418AH7B@TSANANTONIOGUNSLINGERS,2026-04-18,2026,6,IFL,Vegas Knight Hawks,San Antonio Gunslingers,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,0.5,2.0
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,656.0,,,,,,,,,2.0,,,,,,32.0,21.0,,11.0,43.0,14.0,91.0,0.0,2.0,63.0,303.0,0.0,2.0,4.0,8.0,0.0,2.0,12.0,,,,
FOOTBALL_IFL_2026_4_25_TNAZWRANGLERSG20260425HT1S@TSANANTONIOGUNSLINGERS,2026-04-25,2026,7,IFL,NAZ Wranglers,San Antonio Gunslingers,4.0,,1.0,0.0,,1.0,17.0,18.0,18.0,18.0,,2.0,11.0,16.0,0.0,22.0,,,2.0,,,,,,,,,,,,,,,,1.0,5.0,,
FOOTBALL_IFL_2026_5_2_TSANANTONIOGUNSLINGERSG202605025PR1@TTUCSONSUGARSKULLS,2026-05-02,2026,8,IFL,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,1.0,,1.0,0.0,,,,28.0,28.0,28.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,6.0,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,6.0,6.0,,
