game_id,date,season,week,league,away,home,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
2024-04-26-DAL-HTX,2024-04-26,2024,1,,DAL,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03-HTX-ATX,2024-05-03,2024,2,,HTX,ATX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-18-HTX-DAL,2024-05-18,2024,4,,HTX,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24-CHI-HTX,2024-05-24,2024,5,,CHI,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01-ATX-HTX,2024-06-01,2024,6,,ATX,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-08-HTX-DAL,2024-06-08,2024,7,,HTX,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14-HTX-ATL,2024-06-14,2024,8,,HTX,ATL,0.0,0.0,0.0,1.0,1.0,61.0,113.0
2024-06-15-HTX-CAR,2024-06-15,2024,8,,HTX,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-22-DAL-HTX,2024-06-22,2024,9,,DAL,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28-ATL-HTX,2024-06-28,2024,10,,ATL,HTX,0.0,0.0,0.0,0.0,1.0,43.0,75.0
2024-07-05-DAL-HTX,2024-07-05,2024,11,,DAL,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-06-HTX-ATX,2024-07-06,2024,11,,HTX,ATX,1.0,0.0,0.0,4.0,2.0,109.0,141.0
2025-04-25-ATX-HTX,2025-04-25,2025,1,,ATX,HTX,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2025-05-02-MAD-HTX,2025-05-02,2025,2,,MAD,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-10-HTX-ATX,2025-05-10,2025,3,,HTX,ATX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-16-COL-HTX,2025-05-16,2025,4,,COL,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-30-HTX-LA,2025-05-30,2025,6,,HTX,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-31-HTX-SD,2025-05-31,2025,6,,HTX,SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-14-HTX-ATX,2025-06-14,2025,8,,HTX,ATX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-20-HTX-CAR,2025-06-20,2025,9,,HTX,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-21-HTX-ATL,2025-06-21,2025,9,,HTX,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-05-ATX-HTX,2025-07-05,2025,11,,ATX,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-11-LA-HTX,2025-07-11,2025,12,,LA,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-19-CAR-HTX,2025-07-19,2025,13,,CAR,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-24-ATL-HTX,2026-04-24,2026,1,,ATL,HTX,0.0,0.0,0.0,0.0,0.0,0.0,0.0
