game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,6.0,6.0,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,4.0,4.0,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,1.0,1.0,,,,,,,
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,5.0,5.0,,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,2.0,2.0,,,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,1.0,5.0,5.0,12.0,,,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,,,,1.0
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,,,,11.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,0.0,,,,0.0,5.0
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,0.0,,,,0.0,3.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,,0.0,,,,0.0,8.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,0.0,,,,0.0,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,,0.0,,,,0.0,3.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,,0.0,,,,0.0,3.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,,0.0,0.0,0.0,1.0,0.0,3.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,,,0.0,,,,0.0,2.0
