game_id,date,season,week,league,away,home,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pr,score_pts,score_tot
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,,,,,10.0,2.0,6.0,,8.0,18.0,9.0,4.0,,30.0,,,,,,,,,
FOOTBALL_CFL_2018_10_20_SSK@CGY,2018-10-20,2018,1,CFL,SSK,CGY,,,,,,,42.0,5.0,6.0,,42.0,68.0,8.0,3.0,,15.0,,,,,,,,,
FOOTBALL_CFL_2018_10_27_BC@SSK,2018-10-27,2018,1,CFL,BC,SSK,,,,,,,16.0,5.0,7.0,,42.0,54.0,19.0,4.0,,45.0,,,,,,,,,
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,,,,,21.0,1.0,1.0,,,21.0,4.0,2.0,,4.0,,,,,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,,,,,,2.0,,,,21.0,4.0,,67.0,,,,,,,,,
FOOTBALL_CFL_2018_8_25_SSK@BC,2018-08-25,2018,1,CFL,SSK,BC,,,,,,,22.0,2.0,2.0,,9.0,27.0,,,,,1.0,17.0,17.0,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,,,40.0,2.0,4.0,,2.0,44.0,90.0,6.0,1.0,153.0,1.0,3.0,3.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,,,25.0,1.0,1.0,,25.0,25.0,34.0,2.0,,54.0,,,,,,,,,
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,,,,15.0,3.0,6.0,,19.0,42.0,65.0,2.0,1.0,66.0,1.0,-2.0,-2.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,,,,,9.0,11.0,1.0,66.0,126.0,17.0,3.0,,33.0,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,,,,,,32.0,2.0,6.0,,9.0,50.0,28.0,1.0,,28.0,1.0,-6.0,-6.0,,,,,,
SYNTHETIC_CFL_2022_W13_SSK,2022-09-04,2022,13,CFL,WPG,SSK,,,,0.0,58.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W14_SSK,2022-09-10,2022,14,CFL,SSK,WPG,,,,0.0,56.0,6.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W15_SSK,2022-09-16,2022,15,CFL,EDM,SSK,,,,0.0,45.0,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W17_SSK,2022-09-30,2022,17,CFL,SSK,WPG,,,,0.0,76.0,10.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W18_SSK,2022-10-07,2022,18,CFL,SSK,HAM,,,,0.0,21.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W20_SSK,2022-10-22,2022,20,CFL,CGY,SSK,,,,0.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
