game_id,date,season,week,league,away,home,assisted_tackles,blocks,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kick_returns,kicking_points,kr_avg,kr_long,kr_tds,kr_yards,pass_defended,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_NAL_2026_3_7_T570667G1127138@T577047,2026-03-08,2026,1,NAL,Colorado Spartans,Pueblo Punishers,3.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,1.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_21_T581933G1127143@T577047,2026-03-22,2026,3,NAL,Dallas Bulls,Pueblo Punishers,4.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.5,0.0,,1.0,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,1.0,0.0
FOOTBALL_NAL_2026_3_28_T570666G1127148@T577047,2026-03-29,2026,4,NAL,Sioux City Bandits,Pueblo Punishers,1.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,-3.0,0.0,0.0,-3.0,,,,,,,,,0.0,0.0,,2.0,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,3.0,1.0,,,,,0.0,0.0,0.0,,,,0.0,,,,,1.0,,,,,,,4.0,0.5,,6.0,9.0,1.5,0.0
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,1.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_18_TFISHERSFREIGHTG202604185HGP@TTULSAOILERS,2026-04-18,2026,6,IFL,Fishers Freight,Tulsa Oilers,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1.0,0.0
FOOTBALL_NAL_2026_4_11_T573852G1127153@T577047,2026-04-12,2026,6,NAL,Louisiana Rouxgaroux,Pueblo Punishers,2.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_5_2_TGREENBAYBLIZZARDG20260502XIPT@TFISHERSFREIGHT,2026-05-02,2026,8,IFL,Green Bay Blizzard,Fishers Freight,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,1.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0
FOOTBALL_NAL_2026_5_2_T577047G1127165@T570667,2026-05-03,2026,9,NAL,Pueblo Punishers,Colorado Spartans,1.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,3.0,4.0,2.0,0.0,2.0,5.0,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_5_16_TJACKSONVILLESHARKSG20260516ZV31@TFISHERSFREIGHT,2026-05-16,2026,10,IFL,Jacksonville Sharks,Fishers Freight,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,1.0,0.0
FOOTBALL_NAL_2026_5_10_T577047G1127169@T570667,2026-05-10,2026,10,NAL,Pueblo Punishers,Colorado Spartans,3.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,,2.0,,
