game_id,date,season,week,league,away,home,dst_touchdown,fumble_recoveries,interceptions_made,points_against,sacks
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,1.0,27.0,1.0
SYNTHETIC_USFL_2023_W2_GENERALS,2023-04-23,2023,2,USFL,MAULERS,GENERALS,,2.0,1.0,3.0,5.0
SYNTHETIC_USFL_2023_W3_GENERALS,2023-04-30,2023,3,USFL,PANTHERS,GENERALS,,,1.0,13.0,2.0
SYNTHETIC_USFL_2023_W4_GENERALS,2023-05-07,2023,4,USFL,GENERALS,BREAKERS,,,1.0,20.0,4.0
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,,,0.0,24.0,4.0
SYNTHETIC_USFL_2023_W6_GENERALS,2023-05-21,2023,6,USFL,GAMBLERS,GENERALS,,,0.0,16.0,0.0
SYNTHETIC_USFL_2023_W7_GENERALS,2023-05-28,2023,7,USFL,GENERALS,PANTHERS,,,0.0,25.0,1.0
SYNTHETIC_USFL_2023_W8_GENERALS,2023-06-04,2023,8,USFL,GENERALS,SHOWBOATS,,1.0,1.0,25.0,1.0
SYNTHETIC_USFL_2023_W9_GENERALS,2023-06-11,2023,9,USFL,GENERALS,STARS,1.0,3.0,0.0,33.0,4.0
SYNTHETIC_USFL_2023_W10_GENERALS,2023-06-17,2023,10,USFL,GENERALS,MAULERS,,1.0,0.0,20.0,3.0
