game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,tackles
SYNTHETIC_CFL_2022_W1_EDM,,2022,1,CFL,,,0.0,64.0,6.0,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,0.0,41.0,3.0,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,0.0,38.0,3.0,
SYNTHETIC_CFL_2022_W5_EDM,,2022,5,CFL,,,0.0,33.0,6.0,
SYNTHETIC_CFL_2022_W6_EDM,2022-07-14,2022,6,CFL,EDM,MTL,0.0,71.0,4.0,
SYNTHETIC_CFL_2022_W9_EDM,2022-08-06,2022,9,CFL,EDM,BC,0.0,91.0,7.0,
SYNTHETIC_CFL_2022_W10_EDM,2022-08-13,2022,10,CFL,SSK,EDM,0.0,5.0,1.0,
SYNTHETIC_CFL_2022_W11_EDM,2022-08-19,2022,11,CFL,EDM,OTT,1.0,36.0,3.0,
SYNTHETIC_CFL_2022_W15_EDM,2022-09-16,2022,15,CFL,EDM,SSK,0.0,109.0,5.0,
SYNTHETIC_CFL_2022_W17_EDM,2022-10-01,2022,17,CFL,MTL,EDM,0.0,31.0,3.0,
SYNTHETIC_CFL_2022_W18_EDM,2022-10-08,2022,18,CFL,EDM,WPG,0.0,19.0,3.0,
SYNTHETIC_CFL_2022_W19_EDM,2022-10-15,2022,19,CFL,TOR,EDM,0.0,114.0,7.0,
SYNTHETIC_CFL_2022_W20_EDM,2022-10-21,2022,20,CFL,BC,EDM,0.0,56.0,3.0,
SYNTHETIC_CFL_2023_W1_SSK,2023-06-11,2023,1,CFL,SSK,EDM,1.0,28.0,3.0,1.0
SYNTHETIC_CFL_2023_W2_SSK,2023-06-16,2023,2,CFL,WPG,SSK,,,,1.0
SYNTHETIC_CFL_2023_W19_SSK,2023-10-13,2023,19,CFL,SSK,CGY,0.0,0.0,0.0,
SYNTHETIC_CFL_2023_W21_SSK,,2023,21,CFL,,,0.0,14.0,3.0,
