game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
cricket-t20i-2023-09-02-1394918,2023-09-02,2023,1,T20I,Malawi,Lesotho,9.0,1.0,0.0,5.0,9.0,0.0,15.0,0.0,1.0,6.0,2.0,2.0,,1.0,1.0
cricket-t20i-2023-09-03-1394921,2023-09-03,2023,1,T20I,Malawi,Kenya,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,1.0,9.0,0.0,1.0,,,1.0
cricket-t20i-2023-09-05-1394927,2023-09-05,2023,1,T20I,Botswana,Malawi,27.0,5.0,0.0,6.0,42.0,0.0,24.0,0.0,0.0,25.0,1.0,7.0,,,1.0
cricket-t20i-2024-05-31-1435625,2024-05-31,2024,1,T20I,Malawi,Rwanda,8.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,,1.0
cricket-t20i-2024-06-01-1435627,2024-06-01,2024,1,T20I,Kenya,Malawi,19.0,1.0,0.0,5.0,13.0,0.0,18.0,0.0,0.0,16.0,2.0,4.0,3.0,1.0,1.0
cricket-t20i-2024-06-03-1435630,2024-06-03,2024,1,T20I,Uganda,Malawi,5.0,0.0,0.0,5.0,1.0,0.0,6.0,0.0,0.0,10.0,0.0,1.0,,,1.0
cricket-t20i-2024-06-04-1435637,2024-06-04,2024,1,T20I,Cameroon,Malawi,,,,,,,12.0,0.0,0.0,9.0,1.0,4.0,,,1.0
cricket-t20i-2024-06-05-1435639,2024-06-05,2024,1,T20I,Botswana,Malawi,3.0,0.0,0.0,5.0,0.0,0.0,18.0,0.0,0.0,23.0,0.0,3.0,,,1.0
cricket-t20i-2024-06-07-1435644,2024-06-07,2024,1,T20I,Nigeria,Malawi,48.0,4.0,1.0,2.0,29.0,0.0,6.0,0.0,0.0,14.0,1.0,0.0,,,1.0
cricket-t20i-2024-06-08-1435646,2024-06-08,2024,1,T20I,Cameroon,Malawi,36.0,4.0,1.0,2.0,33.0,0.0,24.0,2.0,0.0,3.0,1.0,0.0,1.0,,1.0
cricket-t20i-2025-06-03-1487696,2025-06-03,2025,1,T20I,Malawi,Brazil,26.0,1.0,0.0,5.0,22.0,0.0,23.0,2.0,1.0,14.0,1.0,5.0,,,1.0
cricket-t20i-2025-06-04-1487700,2025-06-04,2025,1,T20I,Tanzania,Malawi,12.0,3.0,0.0,5.0,19.0,0.0,24.0,0.0,0.0,24.0,1.0,3.0,,,1.0
cricket-t20i-2025-06-05-1487703,2025-06-05,2025,1,T20I,Rwanda,Malawi,25.0,1.0,1.0,10.0,17.0,0.0,18.0,0.0,0.0,9.0,0.0,1.0,,,1.0
cricket-t20i-2025-06-06-1487707,2025-06-06,2025,1,T20I,Cameroon,Malawi,27.0,3.0,1.0,5.0,23.0,0.0,18.0,0.0,0.0,11.0,1.0,1.0,1.0,,1.0
cricket-t20i-2025-06-07-1487710,2025-06-07,2025,1,T20I,Malawi,Sierra Leone,14.0,2.0,0.0,3.0,19.0,0.0,18.0,0.0,0.0,23.0,0.0,4.0,,,1.0
cricket-t20i-2025-06-08-1487713,2025-06-08,2025,1,T20I,Uganda,Malawi,3.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,1.0,,1.0,1.0
cricket-t20i-2025-07-20-1494126,2025-07-20,2025,1,T20I,Malawi,Cameroon,8.0,0.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,10.0,0.0,2.0,,,1.0
cricket-t20i-2025-07-21-1494129,2025-07-21,2025,1,T20I,Rwanda,Malawi,6.0,1.0,0.0,2.0,4.0,0.0,25.0,1.0,0.0,22.0,2.0,4.0,,,1.0
cricket-t20i-2025-07-24-1494139,2025-07-24,2025,1,T20I,Malawi,Sierra Leone,6.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0,0.0,12.0,0.0,1.0,,,1.0
cricket-t20i-2025-07-26-1494140,2025-07-26,2025,1,T20I,Botswana,Malawi,25.0,4.0,0.0,1.0,28.0,0.0,6.0,0.0,0.0,13.0,0.0,4.0,,1.0,1.0
cricket-t20i-2026-04-06-1528318,2026-04-06,2026,1,T20I,Lesotho,Malawi,3.0,1.0,1.0,3.0,4.0,0.0,12.0,0.0,0.0,3.0,1.0,2.0,1.0,,1.0
cricket-t20i-2026-04-07-1528321,2026-04-07,2026,1,T20I,Brazil,Malawi,15.0,3.0,0.0,3.0,15.0,0.0,18.0,0.0,0.0,32.0,1.0,3.0,,,1.0
cricket-t20i-2026-04-08-1528325,2026-04-08,2026,1,T20I,Botswana,Malawi,29.0,6.0,0.0,5.0,40.0,0.0,24.0,1.0,0.0,5.0,0.0,1.0,,,1.0
cricket-t20i-2026-04-09-1528329,2026-04-09,2026,1,T20I,Mozambique,Malawi,10.0,2.0,0.0,4.0,13.0,0.0,24.0,1.0,0.0,14.0,2.0,3.0,,2.0,1.0
cricket-t20i-2026-04-09-1528331,2026-04-09,2026,1,T20I,Zambia,Malawi,4.0,0.0,0.0,3.0,1.0,0.0,24.0,1.0,0.0,5.0,2.0,2.0,,,1.0
cricket-t20i-2026-04-10-1528333,2026-04-10,2026,1,T20I,Lesotho,Malawi,,,,,,,24.0,1.0,0.0,15.0,2.0,5.0,,,1.0
cricket-t20i-2026-04-10-1528335,2026-04-10,2026,1,T20I,Malawi,Zambia,4.0,0.0,0.0,4.0,3.0,0.0,24.0,1.0,0.0,9.0,3.0,3.0,1.0,,1.0
cricket-t20i-2026-04-11-1528338,2026-04-11,2026,1,T20I,Mozambique,Malawi,7.0,1.0,0.0,4.0,10.0,0.0,24.0,1.0,0.0,7.0,3.0,5.0,1.0,,1.0
