game_id,date,season,week,league,away,home,def_solo,def_tot,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_CFL_2016_6_30_TOR@SSK,2016-06-30,2016,1,CFL,TOR,SSK,1.0,1.0,,,,,,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,3.0,3.0,,,,,,
SYNTHETIC_USFL_2022_W1_NO,,2022,1,USFL,,,,,,0.0,37.0,4.0,,
SYNTHETIC_USFL_2022_W2_NO,,2022,2,USFL,,,,,0.0,1.0,42.0,5.0,,
SYNTHETIC_USFL_2022_W3_NO,,2022,3,USFL,,,,,,2.0,86.0,7.0,0.0,-11.0
SYNTHETIC_USFL_2022_W4_NO,,2022,4,USFL,,,,,0.0,0.0,43.0,2.0,0.0,-3.0
SYNTHETIC_USFL_2022_W5_NO,,2022,5,USFL,,,,,,1.0,29.0,4.0,0.0,2.0
SYNTHETIC_USFL_2022_W6_NO,,2022,6,USFL,,,,,,0.0,19.0,3.0,0.0,7.0
SYNTHETIC_USFL_2022_W7_NO,,2022,7,USFL,,,,,,0.0,44.0,3.0,,
SYNTHETIC_USFL_2022_W8_NO,,2022,8,USFL,,,,,,0.0,32.0,4.0,0.0,6.0
SYNTHETIC_USFL_2022_W9_NO,,2022,9,USFL,,,,,,0.0,14.0,2.0,,
SYNTHETIC_USFL_2022_W10_NO,,2022,10,USFL,,,,,,0.0,13.0,3.0,0.0,-2.0
SYNTHETIC_USFL_2022_W11_NO,,2022,11,USFL,,,,,,0.0,39.0,3.0,,
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,,0.0,44.0,3.0,,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,,,1.0,52.0,4.0,0.0,-3.0
SYNTHETIC_USFL_2023_W3_BREAKERS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,0.0,35.0,3.0,,
SYNTHETIC_USFL_2023_W6_BREAKERS,2023-05-21,2023,6,USFL,STARS,BREAKERS,,,,1.0,32.0,4.0,,
SYNTHETIC_USFL_2023_W7_BREAKERS,2023-05-27,2023,7,USFL,BREAKERS,STALLIONS,,,,0.0,97.0,6.0,,
SYNTHETIC_USFL_2023_W8_BREAKERS,2023-06-04,2023,8,USFL,BREAKERS,PANTHERS,,,,2.0,136.0,9.0,,
SYNTHETIC_USFL_2023_W9_BREAKERS,2023-06-10,2023,9,USFL,SHOWBOATS,BREAKERS,,,,0.0,7.0,1.0,,
SYNTHETIC_USFL_2023_W10_BREAKERS,2023-06-18,2023,10,USFL,GAMBLERS,BREAKERS,,,,1.0,60.0,3.0,,
SYNTHETIC_USFL_2023_W11_BREAKERS,,2023,11,USFL,,,,,,,51.0,6.0,,
