game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_lg,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,,,,,,,,,,,,,38.0,4.0,5.0,,16.0,73.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,,,,,,,33.0,3.0,4.0,,16.0,47.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,,,,,,,,,,21.0,8.0,8.0,1.0,15.0,100.0,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,1.0,1.0,,1.0,61.0,,,,,,39.0,2.0,2.0,,36.0,61.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,,,,,,,,,,,,52.0,1.0,2.0,,10.0,52.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,,,,,,,,,,2.0,5.0,2.0,30.0,105.0,2.0,11.0,,2.0,,,,2.0,12.0,,2.0,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,1.0,1.0,,,,,,,,,,,,,14.0,2.0,3.0,1.0,20.0,23.0,1.0,3.0,,3.0,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,,,,,,,,,,,14.0,4.0,4.0,,1.0,34.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_21_MTL@CGY,2018-07-21,2018,1,CFL,MTL,CGY,1.0,1.0,,,,,,,,,,,,,9.0,2.0,3.0,,8.0,18.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,,,,,,,,,,,,,23.0,3.0,4.0,,28.0,54.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,,,,,,,,,,,65.0,1.0,3.0,,26.0,65.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,1.0,1.0,,,,,,,,,,,,,40.0,1.0,3.0,,14.0,40.0,1.0,,1.0,4.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,,,,,,,,,,,,32.0,6.0,7.0,,15.0,79.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,,,,,,,,,,,8.0,1.0,2.0,,2.0,8.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,,,,,,,,,,,31.0,4.0,7.0,,14.0,76.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,,,,,,,,,,,36.0,1.0,1.0,,5.0,36.0,,,,,,,,,,,,
