game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_14_T425358G979254@T425361,2025-03-15,2025,2,NAL,Idaho Horsemen,Sioux City Bandits,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,8.0,11.0,0.0,0.0,16.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0
FOOTBALL_NAL_2025_3_29_T425358G979260@T425360,2025-03-29,2025,4,NAL,Idaho Horsemen,Omaha Beef,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,0.0,3.0,,,,
FOOTBALL_NAL_2025_4_3_T450150G979261@T425358,2025-04-04,2025,5,NAL,Shreveport Rouxgaroux,Idaho Horsemen,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,18.0,3.0,-1.0,2.0,2.0,0.0,0.0,-1.0,,,,
FOOTBALL_NAL_2025_4_10_T425356G979264@T425358,2025-04-11,2025,6,NAL,Carolina Cobras,Idaho Horsemen,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,4.0,0.0,0.0,11.0,,,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,1.0,0.0,0.0,-1.0,,,,
FOOTBALL_NAL_2025_5_4_T425361G981353@T425358,2025-05-04,2025,9,NAL,Sioux City Bandits,Idaho Horsemen,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,12.0,12.0,0.0,12.0,7.0,7.0,0.0,0.0,7.0,1.0,2.0,3.0,3.0,1.0,0.0,5.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,0.0,3.0,,,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,5.8,11.0,,0.0,35.0,6.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,,,,,,,,,1.0,0.0,,,,,,14.5,17.0,,1.0,29.0,2.0,-2.5,1.0,2.0,,1.0,-5.0,,,,
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,0.0,,,,,,1.0,0.0,2.0,0.0,1.0,22.0,22.0,0.0,22.0,10.8,21.0,,0.0,43.0,4.0,2.0,8.0,2.0,,1.0,4.0,,,0.0,0.0
FOOTBALL_IFL_2026_4_17_TORLANDOPIRATESG202604173EPG@TJACKSONVILLESHARKS,2026-04-17,2026,6,IFL,Orlando Pirates,Jacksonville Sharks,,,,,,,,,,,,,,,,11.7,16.0,,1.0,35.0,3.0,,,,,,,,,,
FOOTBALL_IFL_2026_4_24_TORLANDOPIRATESG20260424R5XA@TGREENBAYBLIZZARD,2026-04-24,2026,7,IFL,Orlando Pirates,Green Bay Blizzard,,,,,,,,,,,3.0,13.3,18.0,0.0,40.0,10.7,16.0,,1.0,32.0,3.0,4.0,6.0,2.0,,1.0,8.0,,,,
FOOTBALL_IFL_2026_5_9_TFISHERSFREIGHTG202605096WJ9@TORLANDOPIRATES,2026-05-09,2026,9,IFL,Fishers Freight,Orlando Pirates,,,,,,,,,,,,,,,,14.8,37.0,,3.0,133.0,9.0,,,,,,,,,,
FOOTBALL_IFL_2026_5_18_TVEGASKNIGHTHAWKSG20260518L91R@TORLANDOPIRATES,2026-05-18,2026,10,IFL,Vegas Knight Hawks,Orlando Pirates,,,,,,,,,2.0,2.0,3.0,6.0,9.0,0.0,18.0,13.1,32.0,,2.0,92.0,7.0,1.5,3.0,2.0,,0.0,3.0,,,,
