game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,34.0,25.0,1.0,59.0,,,2.0,346.0,9.0,,1.0,11.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,32.0,24.0,,21.0,11.0,1.0,1.0,261.0,3.0,8.0,1.0,10.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,31.0,18.0,,33.0,15.0,2.0,2.0,239.0,6.0,16.0,1.0,27.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,19.0,10.0,,32.0,11.0,2.0,,133.0,5.0,8.0,,20.0,,,
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,41.0,20.0,,,9.0,1.0,3.0,340.0,,,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,40.0,28.0,,64.0,9.0,2.0,1.0,383.0,7.0,5.0,,16.0,,,
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,45.0,32.0,1.0,,16.0,2.0,2.0,465.0,7.0,10.0,,18.0,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,42.0,32.0,,,26.0,3.0,3.0,354.0,5.0,16.0,,24.0,,,
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,37.0,27.0,1.0,68.0,,,4.0,378.0,5.0,5.0,,18.0,,,
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,45.0,29.0,,34.0,,,,300.0,8.0,12.0,1.0,34.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,31.0,26.0,2.0,70.0,7.0,3.0,3.0,362.0,5.0,11.0,1.0,16.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_26_SSK@EDM,2016-08-26,2016,1,CFL,SSK,EDM,,,26.0,21.0,1.0,46.0,9.0,1.0,2.0,253.0,6.0,12.0,1.0,45.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,41.0,25.0,1.0,22.0,7.0,2.0,,255.0,2.0,13.0,,17.0,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,45.0,35.0,,,16.0,2.0,2.0,432.0,12.0,10.0,1.0,37.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,,,36.0,19.0,1.0,,8.0,1.0,1.0,306.0,6.0,13.0,,34.0,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,31.0,24.0,1.0,58.0,22.0,3.0,1.0,300.0,7.0,11.0,1.0,29.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,38.0,32.0,,,12.0,2.0,2.0,355.0,6.0,5.0,,10.0,,,
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,36.0,23.0,2.0,,23.0,4.0,1.0,219.0,7.0,,1.0,46.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,38.0,31.0,,,,,1.0,369.0,10.0,16.0,,72.0,,,
FOOTBALL_CFL_2018_10_19_EDM@BC,2018-10-19,2018,1,CFL,EDM,BC,,,28.0,18.0,,51.0,27.0,4.0,1.0,268.0,8.0,13.0,1.0,35.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_10_8_EDM@SSK,2018-10-08,2018,1,CFL,EDM,SSK,,,27.0,13.0,3.0,71.0,20.0,5.0,,222.0,8.0,13.0,,57.0,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,35.0,29.0,1.0,23.0,11.0,2.0,1.0,320.0,9.0,19.0,,41.0,,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,46.0,32.0,1.0,,6.0,1.0,1.0,408.0,11.0,14.0,2.0,43.0,12.0,2.0,2.0
FOOTBALL_CFL_2018_6_22_HAM@EDM,2018-06-22,2018,1,CFL,HAM,EDM,,,30.0,20.0,1.0,,8.0,1.0,2.0,286.0,5.0,15.0,1.0,26.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_6_29_BC@EDM,2018-06-29,2018,1,CFL,BC,EDM,,,30.0,22.0,2.0,,6.0,1.0,3.0,326.0,8.0,9.0,1.0,15.0,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_13_TOR@EDM,2018-07-13,2018,1,CFL,TOR,EDM,1.0,1.0,36.0,21.0,1.0,43.0,5.0,1.0,2.0,258.0,6.0,15.0,,55.0,,,
FOOTBALL_CFL_2018_7_26_EDM@MTL,2018-07-26,2018,1,CFL,EDM,MTL,,,32.0,24.0,,,,,4.0,415.0,7.0,10.0,1.0,26.0,6.0,1.0,1.0
