player_id,player_name,positions,assists,blocks,drops,goals,throwaways,yardsReceived,yardsThrown
adam-stautberg,Adam Stautberg,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alec-mathena,Alec Mathena,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
andrew-sjogren,Andrew Sjogren,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
austin-engel,Austin Engel,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bryan-walsh,Bryan Walsh,P,4.0,0.0,0.0,1.0,1.0,239.0,199.0
caleb-stanish,Caleb Stanish,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camilo-barrera,Camilo Barrera,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chris-ellis,Chris Ellis,P,1.0,1.0,0.0,0.0,0.0,24.0,85.0
chris-walsh,Chris Walsh,P,5.0,0.0,0.0,3.0,3.0,199.0,316.0
dave-richmond,Dave Richmond,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
david-innis,David Innis,P,0.0,0.0,0.0,1.0,3.0,10.0,105.0
david-valentine-elam,David Valentine-Elam,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ed-fox,Ed Fox,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elliot-deeds,Elliot Deeds,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elliot-perpich,Elliot Perpich,P,0.0,1.0,0.0,0.0,1.0,-29.0,36.0
grant-maynard,Grant Maynard,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack-havey,Jack Havey,P,2.0,0.0,0.0,4.0,1.0,278.0,171.0
jacob-anthuvan,Jacob Anthuvan,P,1.0,1.0,0.0,3.0,4.0,337.0,42.0
jacob-yant,Jacob Yant,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jake-kenniv,Jake Kenniv,P,0.0,1.0,0.0,0.0,0.0,53.0,29.0
jake-steslicki,Jake Steslicki,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
james-highsmith,James Highsmith,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
johnny-bansfield,Johnny Bansfield,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jonny-mckoy,Jonny McKoy,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
joseph-cubitt,Joseph Cubitt,P,4.0,3.0,0.0,1.0,4.0,100.0,514.0
josh-bolt,Josh Bolt,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
justin-winn,Justin Winn,P,0.0,1.0,0.0,6.0,5.0,356.0,98.0
kevin-anthony,Kevin Anthony,P,3.0,1.0,0.0,0.0,1.0,82.0,182.0
kevin-van-roosmalen,Kevin van Roosmalen,P,0.0,0.0,0.0,0.0,0.0,6.0,12.0
mac-hecht,Mac Hecht,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malachi-marshall,Malachi Marshall,P,0.0,0.0,0.0,0.0,1.0,19.0,5.0
mark-whitton,Mark Whitton,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-lemaitre,Matt LeMaitre,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
matt-wilken,Matt Wilken,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
michael-ntende,Michael Ntende,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nathan-champoux,Nathan Champoux,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nathan-ploeger,Nathan Ploeger,P,0.0,0.0,0.0,1.0,0.0,43.0,-12.0
peyton-schock,Peyton Schock,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rees-mcdevitt,Rees McDevitt,P,0.0,0.0,0.0,0.0,0.0,11.0,-7.0
ryan-ntende,Ryan Ntende,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawyer-fil,Sawyer  Fil,P,0.0,1.0,0.0,0.0,1.0,7.0,-11.0
stephen-grondin,Stephen Grondin,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terry-gaither,Terry Gaither,P,0.0,0.0,0.0,0.0,0.0,10.0,-18.0
trevor-polisuk-balfour,Trevor Polisuk-Balfour,P,0.0,0.0,0.0,0.0,1.0,9.0,0.0
tyler-mitchuson,Tyler Mitchuson,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yipeng-wang,Yipeng Wang,P,0.0,1.0,0.0,0.0,0.0,0.0,6.0
zachery-turner,Zachery Turner,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
