player_id,player_name,positions,1pt_conversion,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
bryce-perkins,Bryce Perkins,QB,,,0.0,,,0.0,0.0,,,,,0.0,37.0,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,0.0,18.0,2.0,,,
danny-etling,Danny Etling,QB,,,0.0,,,1.0,195.0,,,,,1.0,36.0,
devin-gray,Devin Gray,WR,,,,,,,,,0.0,30.0,3.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,0.0,18.0,1.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,0.0,0.0,0.0,,,
jake-bates,Jake Bates,K,,83.0,,,1.0,,,,,,,,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,0.0,0.0,0.0,0.0,36.0,
panthers-dst,Panthers DST,DST,,,,0.0,,,,20.0,,,,,,5.0
panthers-k,Panthers K,K,,83.0,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,,,0.0,,,1.0,195.0,,,,,1.0,73.0,
samson-nacua,Samson Nacua,WR,,,,,,,,,0.0,0.0,0.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,1.0,110.0,7.0,,,
toa-taua,Toa Taua,RB,1.0,,,,,,,,0.0,0.0,0.0,0.0,26.0,
trey-quinn,Trey Quinn,WR,,,,,,,,,0.0,19.0,3.0,,,
