player_id,player_name,positions,conversions,field_goal_yards,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-mccarron,AJ McCarron,QB,1.0,,1.0,,,,3.0,222.0,,,,,0.0,23.0,
andre-szmyt,Andre Szmyt,K,,101.0,,,,1.0,,,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,,,1.0,,,,,17.0,,,,,,4.0
battlehawks-k,Battlehawks K,K/QB,1.0,101.0,1.0,,,1.0,3.0,222.0,,,,,0.0,23.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,0.0,-6.0,2.0,0.0,-4.0,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,,0.0,27.0,3.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,0.0,61.0,8.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,1.0,19.0,3.0,0.0,103.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,1.0,,,,,1.0,70.0,10.0,,,
jake-sutherland,Jake Sutherland,TE,,,,,,,,,,1.0,10.0,2.0,,,
kemari-averett,Kemari Averett,TE,,,,,,,,,,0.0,4.0,2.0,,,
marcell-ateman,Marcell Ateman,WR,1.0,,,,,,,,,0.0,23.0,3.0,,,
mataeo-durant,Mataeo Durant,RB,,,,,,,,,,0.0,8.0,1.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,0.0,6.0,1.0,1.0,7.0,
